feature,mi,lead,selected
lead_0_I_tf_spectrogram_std,0.02846428648398658,lead0,False
lead_8_V3_spec_spectral_kurtosis,0.028425762769088748,lead8,False
lead_2_III_tf_tf_centroid_time,0.028404700406434148,lead2,False
lead_7_V2_morph_p_duration_mean,0.02839729413598948,lead7,False
lead_1_II_tf_tf_energy,0.028360274991497826,lead1,False
lead_0_I_morph_area_qrs_mean,0.02826596253500595,lead0,False
lead_4_AVL_morph_qrs_amp_mean,0.028240825315750007,lead4,False
lead_8_V3_spec_dominant_frequency,0.02821254033223981,lead8,False
lead_1_II_morph_r_peak_amp_mean,0.02809184937864271,lead1,False
lead_4_AVL_morph_p_duration_mean,0.02784384138153926,lead4,False
lead_11_V6_spec_spectral_rolloff,0.027656553395248706,lead11,False
lead_4_AVL_tf_tf_centroid_time,0.027640342020835717,lead4,False
lead_11_V6_stat_variance,0.02758671588617556,lead11,False
lead_6_V1_spec_dominant_frequency,0.027523501736796074,lead6,False
lead_11_V6_stat_signal_power,0.027512941403907653,lead11,False
lead_1_II_stat_range,0.027464518333321086,lead1,False
lead_5_AVF_temp_pnn50,0.027410354808896576,lead5,False
lead_1_II_morph_t_amp_mean,0.027309256105629266,lead1,False
lead_0_I_stat_range,0.027306459044890864,lead0,False
lead_3_AVR_nonlin_fractal_dimension,0.027291851306229596,lead3,False
lead_8_V3_morph_area_qrs_mean,0.027155003650162657,lead8,False
lead_5_AVF_morph_qrs_slope_mean,0.026873148911318267,lead5,False
lead_10_V5_stat_variance,0.026799440241959037,lead10,False
lead_10_V5_stat_energy,0.02679944024195897,lead10,False
